ProductCategory,MonthlyNominalGDPIndexinMillion,MonthlyRealGDPIndexinMillion,CPI,unemploymentrate,CommercialBankInterestRateonCreditCardPlans,FinanceRateonPersonalLoansatCommercialBanks24MonthLoan,Earningsorwagesindollarsperhour,CottonMonthlyPriceUScentsperPoundlbs,Changein,Averageuplandplantedmillionacres,yieldperharvestedacre,Millusein480lbnetwerightinmillionbales,Exports,SeaLevelPressavg,Visibilityavg,Windavg,Precipsum,Event,FederalHoliday,Predictions
MenClothing,17900.98186,16329.52379,259.647,5.4,11.98,9.85,25.04,69.35,-0.7,10.845,781,3.625,10.25,1019.032258,12.93548387,9.838709677,3.868064516,0,0,784.5278
WomenClothing,15740.54453,15148.8222,248.307,8.5,12.36,10.36,23.22,95.45,-8.82,14.431,757,3.575,10.65,1020.633333,14.66666667,9.533333333,3.386333333,2,2,4683.3115
WomenClothing,17931.04619,16400.92674,259.24,5.5,11.98,9.85,25.05,69.84,3.7,10.845,781,3.625,10.2,1017.607143,13.42857143,11.75,1.851785714,1,1,3551.45
MenClothing,15404.39851,15004.11547,245.617,9,13.44,10.98,22.9,229.67,7.74,10.769,814,3.565,15.28,1019.612903,14,12.29032258,5.072258065,0,0,700.4935
OtherClothing,17061.07108,15810.41018,257.284,6.7,11.85,10.22,24.3,87.49,3.35,10.136,788,3.58,9.65,1019.225806,12.93548387,9.419354839,3.97483871,2,1,1571.2769
WomenClothing,17765.33757,16243.05473,259.382,5.8,11.99,10.47,24.78,67.53,-3.99,10.818,783,3.775,9.45,1017.4,14.3,8.6,3.598666667,0,2,3544.644
WomenClothing,16283.27872,15391.87731,254.554,7.8,11.95,10.37,23.67,84.15,-0.3,12.121,774,3.375,11.075,1016.62069,14.89655172,6.448275862,3.846206897,0,1,3246.0518
OtherClothing,16461.87323,15450.31864,256.27,7.5,11.95,10.34,23.8,92.62,0.09,12.076,869,3.38,12.45,1018.129032,12.87096774,7.870967742,6.55516129,1,1,1195.327
OtherClothing,15864.50234,15226.20468,249.322,8.3,12.36,10.36,23.56,101.11,5.93,14.426,754,3.575,10.35,1016.357143,14.07142857,12.60714286,2.758571429,0,3,1015.4567
WomenClothing,15149.13616,14838.15558,242.639,9.1,13.44,10.94,23.16,178.93,6.37,10.769,814,3.565,15.28,1014.612903,12.38709677,10.38709677,4.114193548,0,2,2243.4958
OtherClothing,17408.56429,15990.97742,261.35,6.1,11.83,9.57,24.42,90.9,-1.95,10.943,811,3.675,9.22,1015.233333,13.66666667,6.533333333,3.607,1,0,1707.0359
WomenClothing,17733.02446,16221.18013,258.08,5.6,11.99,10.47,24.59,68.3,1.14,10.818,760,3.775,9.45,1019.5,13.1,10.9,5.038,2,1,4748.2153
OtherClothing,17630.35459,16133.04943,261.074,5.9,11.82,10.73,24.5,73.38,-0.84,10.818,790,3.775,9.45,1019.3,14.9,6.9,1.042,0,1,1564.1681
WomenClothing,16776.99257,15673.43997,257.659,7.3,11.88,10.13,23.8,92.71,0.1,10.015,796,3.48,13.38,1016.483871,13.93548387,6.096774194,2.336129032,0,0,3515.3872
MenClothing,16685.74225,15606.00807,257.326,7.3,11.95,10.34,23.81,92.62,-0.49,10.025,815,3.475,10.35,1016.774194,13.12903226,7,2.327096774,0,1,712.10266
WomenClothing,14340.70164,14351.78682,235.067,8.7,12.97,11.05,22.22,51.5,-6.72,9.296,799,3.72,11.65,1021.064516,14.25806452,11.38709677,1.434193548,0,0,2265.2861
WomenClothing,18278.30427,16540.85972,261.515,5,12.1,9.8,25.14,69.03,0.42,8.398,772,3.675,9.7,1018.935484,15.16129032,8.451612903,3.203870968,1,1,4392.0054
OtherClothing,15036.27763,14824.16577,241.569,9.5,13.59,10.71,22.55,90.35,7.37,10.7,831,3.37,14.525,1014.966667,14.96666667,8.133333333,3.505666667,0,0,899.1564
MenClothing,15219.05904,14945.42709,241.981,9.4,13.59,10.71,22.7,126.55,20.83,10.829,835,3.57,15.025,1011.766667,14.16666667,10.2,4.158,1,1,856.66846
WomenClothing,16239.4201,15433.36987,252.016,8.2,12.06,10.94,23.48,83.97,2.18,12.4,773,3.375,11.4,1013.766667,14.36666667,6.566666667,3.564333333,0,1,2925.6582
WomenClothing,15219.05904,14945.42709,241.981,9.4,13.59,10.71,22.7,126.55,20.83,10.829,835,3.57,15.025,1011.766667,14.16666667,10.2,4.158,1,1,3079.833
WomenClothing,15472.39129,14990.96382,248.073,9,12.89,11.37,23.06,165.52,-23.59,10.769,805,3.76,15.02,1014.307692,12.57692308,9.307692308,4.474615385,1,1,3039.157
MenClothing,14424.2849,14435.81251,238.282,9.6,13.71,10.89,22.16,64.26,-0.83,8.905,809,3.47,9.7,1015.967742,14.48387097,6.806451613,3.466774194,0,0,577.2381
WomenClothing,17061.07108,15810.41018,257.284,6.7,11.85,10.22,24.3,87.49,3.35,10.136,788,3.58,9.65,1019.225806,12.93548387,9.419354839,3.97483871,2,1,4892.252
WomenClothing,16121.95896,15354.65058,252.652,8.2,12.06,10.94,23.32,88.53,-11.56,14.428,772,3.373,10.75,1016.137931,12.17241379,6.379310345,3.828275862,1,1,3035.3542
OtherClothing,14340.70164,14351.78682,235.067,8.7,12.97,11.05,22.22,51.5,-6.72,9.296,799,3.72,11.65,1021.064516,14.25806452,11.38709677,1.434193548,0,0,909.4257
WomenClothing,17053.73811,15841.75876,257.377,6.9,11.85,10.22,24.11,84.65,-5.26,10.136,790,3.58,9.65,1021.4,14.76666667,10.03333333,2.667333333,0,2,3877.4175
OtherClothing,16433.88272,15435.6751,256.234,7.7,11.94,10.12,23.9,89.71,4.91,12.077,849,3.38,11.75,1015,13.10714286,11.39285714,3.856071429,1,1,1113.0638
OtherClothing,17684.63535,16196.42013,261.075,6.2,11.82,10.73,24.32,74,-11.74,11.191,808,3.775,10.15,1016.483871,15,5.967741935,1.843225806,0,0,1318.4141
WomenClothing,14421.7529,14407.05334,233.402,7.8,12.03,11.44,22.05,57.7,4.02,9.296,799,4.17,11.55,1015.967742,14,12,2.443225806,0,2,1763.7898
WomenClothing,15547.85445,15011.76141,249.164,9,12.89,11.37,22.94,149.25,-7.1,13.436,785,3.77,11.325,1012.806452,13.03225806,6.870967742,2.483225806,0,1,2910.8052
WomenClothing,14945.57037,14772.31805,240.817,9.4,13.84,11,22.34,91.68,1.79,10.315,806,3.275,13.05,1012.033333,14.23333333,8,1.863333333,1,0,2717.5818
MenClothing,14945.57037,14772.31805,240.817,9.4,13.84,11,22.34,91.68,1.79,10.315,806,3.275,13.05,1012.033333,14.23333333,8,1.863333333,1,0,637.2786
WomenClothing,15422.38185,14927.33273,248.505,9.1,12.89,11.37,22.81,160.65,-2.94,12.313,787,3.77,12.4,1013.04,12.56,7.68,3.272,1,0,3299.3545
MenClothing,15472.39129,14990.96382,248.073,9,12.89,11.37,23.06,165.52,-23.59,10.769,805,3.76,15.02,1014.307692,12.57692308,9.307692308,4.474615385,1,1,681.0755
OtherClothing,18317.12912,16578.00454,259.941,5,12.22,9.66,25.21,70.39,1.69,8.398,755,3.675,9.5,1018.142857,12.33333333,9,5.141904762,3,1,1686.96
WomenClothing,14613.99148,14551.02484,238.97,9.8,13.6,11.2,22.51,77.4,0.81,9.008,763,3.37,10.4,1014.533333,14.76666667,11.63333333,1.720666667,0,2,2178.9995
OtherClothing,17551.78107,16089.49919,261.498,6.2,11.83,9.57,24.31,83.84,-7.77,11.191,804,3.775,9.72,1014.517241,13.68965517,11.96551724,4.897241379,0,1,1172.3066
WomenClothing,15840.38541,15249.76348,250.051,8.8,12.28,10.8,23.3,110.61,-5.18,14.431,797,3.775,10.825,1015.034483,13.89655172,8.862068966,5.334137931,1,1,2045.2466
WomenClothing,15564.48241,14966.82287,250.559,9,12.28,10.8,23.05,116.65,2.23,14.431,794,3.775,11.325,1016.766667,12.73333333,7.133333333,7.950333333,0,1,3089.477
MenClothing,15422.38185,14927.33273,248.505,9.1,12.89,11.37,22.81,160.65,-2.94,12.313,787,3.77,12.4,1013.04,12.56,7.68,3.272,1,0,1694.9451
OtherClothing,17028.58635,15762.59892,259.019,6.7,11.83,10.09,24.58,94.05,3.4,10.206,807,3.58,9.75,1016.814815,12.55555556,10.51851852,5.155555556,1,1,1284.2762
